ID,Title,Permalink,spot_editor,spot_table_spot_table1,spot_table_spot_table2,spot_table_spot_table3,spot_table_spot_table4,spot_table_spot_table5,spot_table_spot_table6,spot_table_spot_table7,spot_table_spot_table8,カテゴリー
1130,由布川峡谷,https://yufuin.gr.jp/spot/spot-1130/,"【清流の由布川が大地を深く切り込んだ美しい峡谷】
深く切り立った岩壁が約12kmも続き、狭いところでは幅2mほど、もっとも深いところでは高さが60mにもなります。
幽玄とか幻想とか形容される美しい峡谷です。

峡谷降り口から入ってすぐは、水の流れも緩やかで、春夏には子供たちが水遊びをする歓声が賑やかさをみせます。
秋から冬にかけては静かな峡谷に魅せられた写真家の方が多く、写真家の聖地とまで言われることもあります。
峡谷深部には数万年は落ちずにあるチョックストーンが神秘の景色を見せていて、近年はここを目指す峡谷探検が盛んになっています。

アクティビティも多くの事業者が企画しており、パックラフトツアーやキャニオニングツアーなどもよく催行されています。",大分県由布市挾間町朴木14-2,097-583-2552,,,9:00-16:00,定休日なし,あり,環境整備協力金　大人100円　小学生50円,"観る>自然・歴史,遊ぶ・楽しむ>体験・見学"
1131,峡谷茶屋,https://yufuin.gr.jp/spot/spot-1131/,"由布川峡谷にちなんだお土産品の販売や、軽食の提供をしています
夏限定のそうめんセットがおすすめ
季節限定ですが地域の野菜なども販売しています
峡谷で遊んだら、峡谷茶屋のかき氷やアイスキャンディーで涼んでください

峡谷観光の休憩所としてご利用いただけます",大分県由布市挾間町朴木14-2,097-583-2552,,,10:00-15:00,定休日なし,あり,,"食べる>軽食・カフェ,食べる時間>ランチ,買う>食べ物,買う>食べ物以外,観る>その他（観る）"
1132,コテージ湖畔,https://yufuin.gr.jp/spot/spot-1132/,"金鱗湖より徒歩1分と四季折々の自然を間近に感じながら、お土産屋が並ぶ湯の坪街道も徒歩圏内という抜群の立地のコテージです。
全部屋キッチン付きで備品も大充実！バーベキューも楽しめます。",大分県由布市湯布院町川上1761-5,0977-85-3043,https://hpdsp.jp/kohan/,https://www.instagram.com/yufuin_kohan/,電話対応　8:00-21:00,"日曜日, 不定休",あり,"一泊素泊まり4500円～
（部屋タイプや人数、宿泊日により変わりますのでお問い合わせください）","客室タイプ>和室,客室タイプ>和洋室,客室タイプ>一棟貸し,客室タイプ>キャンプ・グランピング,お風呂の種類>貸切風呂,ペット>ペット不可,WiFi>WiFiあり,お部屋での喫煙>禁煙ルームのみ"
1133,由布院六花,https://yufuin.gr.jp/spot/spot-1133/,"由布岳を望む田園が広がる場所に由布院六花はあります。湯布院の四季を感じていただける小さな宿です。
６室の客室は離れタイプで、それそれに半露天風呂がございます。温泉は敷地内の源泉からかけ流しにしております。
ゆっくりと由布院温泉をお楽しみいただけます。

お食事は個室タイプのダイニングでご用意させていただきます。
ご夕食は和洋創作会席料理を月替わりのお献立でご用意しております。

それぞれの旅のスタイルで、のんびりとお過ごしくださいませ。",大分県由布市湯布院町川上3612-2,0977-76-8460,https://yufuinonsen.jp/,,チェックイン　15：00～18：00,,あり,"平日２名ご利用　３７,４００円～","客室タイプ>ツイン,客室タイプ>和洋室,ペット>ペット不可,WiFi>WiFiあり,お部屋での喫煙>禁煙ルームのみ"
1134,五体投地,https://yufuin.gr.jp/spot/spot-1134/,"昭和初期の風情ある五体投地本館にて、古美術・古道具等を幅広く取り扱っております。
湯布院は良質な温泉と風情豊かな観光地であり、また文化・芸術の雰囲気漂う町でもあります。
のどかな自然と温泉街の情緒が調和したこの地にて愛すべき諸道具を取り揃え皆様のお越しを心よりお待ち申し上げます。 

当店は中国を中心とした東洋古陶磁・新古美術・仏教美術・日本美術・西洋美術・現代美術・石造美術・近代工芸・書画・絵画・彫刻・金工・硝子・中国古玩・和骨董全般の販売及び大正～昭和初期の和物照明器具・和の洋家具・建具・古材・古道具にての室内ディスプレイをご提案します。",大分県由布市湯布院町川上3083-1,0977-85-4890,https://gotaitouti.com/,https://www.instagram.com/antique_gotaitouti/?hl=ja,10:00-17:00,年末年始休業,あり,,買う>食べ物以外
1135,湯布院カントリーロードユースホステル,https://yufuin.gr.jp/spot/spot-1135/,"ユースホステルとは一日の旅の疲れを癒すために、身体休める場所を提供するだけの宿ではありません。
夜の時間も旅の想い出の一部として欲しいと願っている宿です。一人旅の方には男女別の相部屋を。
またご家族の方には個室をご用意しています。そしてここには毎晩「何か」があります！

　今人気の由布院温泉。自転車や徒歩で温泉や美術館などをゆっくりと巡り優雅な時間を過ごすのもいいですが、近隣にも見所は多く、別府・阿蘇・国東半島また耶馬溪・長湯温泉・飯田高原、そして日田・玖珠などにも近く観光の中心地としても大変便利な街です。

　そんな由布院の街の喧噪から離れた標高６００ｍの由布岳の麓に静かに佇む宿が、ここ湯布院カントリーロードユースホステルです。周辺には別荘以外何もなく、小鳥や鹿の声を聞きながら静かな環境の中でゆっくりとした時間を思う存分堪能できます。

　またユースホステル食堂からは由布院の夜景が一望でき、見上げると満点の星空がビックリするほど光り輝きます。建物は元旅館を改装しているので、和の趣を残した作りとなっており、掃除の行き届いた館内では心地よく過ごすことができると思います。

　お風呂は１００％源泉掛け流しの温泉で、チェックインからチェックアウトまでの間ははいつでも自由にご利用できます。
トロリとした触感が自慢のお湯を、スベスベになったお肌で実感してください。そしてお風呂上がりには由布岳の井戸水を冷やしていますので、ご自由にお飲み下さい。

　宿泊料金が高く一人旅での宿泊がなかなか難しい由布院のなかで、常に旅人が宿泊しやすい安い料金を目指しています。
女性の一人旅の旅行者も安心して宿泊できます。共同スペースが十分にあるのでみんなでの時間も個人での時間も取ることができます。

　旅人・バイクライダー・自転車チャリダー・登山客・外国人などが多く訪れる当ユースホステルではナイトツアー・ゲーム・お茶会・スポーツなど毎晩様々なイベントをおこなっています。
いろんな人と語り合い、ふれあう夜こそがユースホステルの醍醐味であり、ユースホステルにしかない特徴なのです。

　「安い」だけではなく、「イベント」を通じて「出会い」を演出し続ける場所として、湯布院ユースホステルではスタッフ一同「おもてなし」の心で、いつでも皆様のお越しを心より待ちしています。

さぁ！一緒に楽しい想い出を作っていきましょう！",大分県由布市湯布院町川上441-29,0977-84-3734,https://countryroadyh.com/,,"チェックイン　　16：00～　
チェックアウト　10：00",不定休,あり,"相部屋　平日　３,７００円　～　
夕食　１,７００円　朝食　７００円　詳しくはHPを参照ください","客室タイプ>シングル,客室タイプ>和室,ペット>ペット不可,WiFi>WiFiあり,お部屋での喫煙>禁煙ルームのみ"
1136,ENOWA YUFUIN,https://yufuin.gr.jp/spot/spot-1136/,"そこに身を置けば、五感すべての感覚が生き生きと反応し、開き、満ちて、更新され、忘れていた自分を発見する。
そんな場所を“ボタニカル・リトリート”と名付けました。
食と空間、大地と植物、水と風。過去と未来。すべてのつながりの中で満ち足りた自分と出会う。
ボタニカル・リトリート” ENOWA YUFUIN",大分県由布市湯布院町川上544,0977-28-8310,https://enowa-yufuin.jp/,https://www.instagram.com/enowa.yufuin/?hl=ja,,ホテルが定めた不定の休館日発生する場合有,あり,,"客室タイプ>ツイン,お風呂の種類>露天風呂,ペット>ペット不可,お部屋での喫煙>禁煙ルームのみ"
1137,ゆふいん夢ひろば,https://yufuin.gr.jp/spot/spot-1137/,"「ドクターフィッシュ足湯」&「露天家族風呂」(貸切-立ち寄り湯)  
ゆふいん温泉を存分に楽しめる自然豊かな立ち寄りスポットです。

・「ドクターフィッシュ足湯」は、”時間無制限””タオル付き” “¥800”で、ガラルファと呼ばれる鯉科の魚が古くなった角質をついばみます。
そこへ源泉掛け流し天然温泉（pH8.5アルカリイオン泉・美肌の湯）が浸透して、「つるすべ」にしてくれます。
歩き疲れた足腰を軽やかにリフレッシュしてくれると好評です。
約3000匹の魚と、水音や庭園の緑を間近に感じながら、極上体験をお楽しみください。

・「露天家族風呂」は四季折々の草花を望む庭園露天風呂です。
源泉掛け流しで、ｐＨ8.5の柔らかくなめらかな泉質が好評です。
タイプは２つ。A.2〜5名タイプ（１時間2人¥2500〜)/B.2〜3名タイプ（1時間2人¥2300〜）(※A.B共1人追加毎に+¥500)
自然の中に身を置いてゆっくりと癒しのひとときをお過ごし下さい。予約可=お問い合わせ下さい。",大分県由布市湯布院町川上2635,0977-84-3402,https://www.yufuinyumehiroba.com/,https://www.instagram.com/yufuinyumehiroba/,"10:00-17:00
立ち寄り湯の受付〜16:00まで",水曜日,なし,"ドクターフィッシュ足湯：￥800(時間無制限・タオル付）
家族露天風呂：１時間２人￥2300～","アメニティ（立ち寄り湯）>あり,お風呂の種類（立ち寄り湯）>露天風呂,お風呂の種類（立ち寄り湯）>貸切風呂,遊ぶ・楽しむ>体験・見学,遊ぶ・楽しむ>その他（遊ぶ・楽しむ）"
1138,グランマ,https://yufuin.gr.jp/spot/spot-1138/,"湯布院で朝1番8時にオープンしているパン屋です。
カフェスペースも併設していますのでお飲み物と一緒にパンも召し上がれます。
人気のピザトースト、ツナマヨトースト、小倉トーストなどもご用意しています。
お飲み物とのセットがおすすめです。
もっちりしっとりのパン生地が特に人気です。",大分県由布市湯布院町川上2794-2,0977-85-5456,,,8:00-17:00,"水曜日, 木曜日",なし,,"食べる>軽食・カフェ,食べる>パン,食べる時間>モーニング,食べる時間>ランチ,食べる時間>カフェ"
1139,ゆふいん束ノ間,https://yufuin.gr.jp/spot/spot-1139/,"自然の恩恵を与った広大な土地に建物が点在する温泉保養集落なので静かでゆったりとした時間が流れています。
良質な温泉に拘る方には特にお勧めです。身体と心を見つめ治す場としてご利用頂ければ幸いです。",大分県由布市湯布院町川上444-3,0977-85-3105,https://tsukanoma.club,,"宿泊のチェックインは15:00～18:00
立ち寄り湯は9:30～18:00","火曜日, 水曜日",あり,,"客室タイプ>和室,客室タイプ>和洋室,お風呂の種類>露天風呂,お風呂の種類>貸切風呂,ペット>ペット不可,WiFi>WiFiあり,お部屋での喫煙>禁煙ルームのみ,アメニティ（立ち寄り湯）>あり,お風呂の種類（立ち寄り湯）>露天風呂"
